Name,nc_state,degree,weightedDegree,betweenness,closeness,eigenvector,community
"Wentzloff, David",False,17.0,17.0,0.0,0.2446398973426723,3.961019761822363e-06,5073
"Werner, Doug",False,17.0,17.0,0.0,0.2446398973426723,3.961019761822363e-06,5073
"Whetten, Rebecca",True,17.0,17.0,35102.282949211745,0.27168007600273136,3.7874033709940987e-06,764
"Whitaker, Vance M.",False,8.0,17.0,2.8666666666666667,0.20463795339684243,1.0895573098688283e-09,764
"Williamson, Sharon",True,12.0,17.0,0.9999999999999999,0.25674045394607636,2.5115277754125526e-07,5942
"Willmitzer, Lothar",False,17.0,17.0,0.0,0.2531396957123098,6.493928922984764e-08,764
"Woods, Ethan",True,15.0,17.0,788.8707702011188,0.19803501482395205,6.518998090995659e-10,7553
"Worm, Thomas",True,10.0,17.0,111.70502452519794,0.22742184005169244,3.829139178837372e-06,536
"Wu, Yifan",True,12.0,17.0,1.7672077922077922,0.2295727653596247,1.1098260448472316e-05,5073
"Xu, Xiangyu",False,17.0,17.0,0.0,0.23877987683957833,3.9613533572238284e-06,764
"Xue, Wei",False,17.0,17.0,0.0,0.23835694936445093,2.7845537745985885e-08,7766
"Yang, Wuqiang",False,10.0,17.0,4.583333333333333,0.20700809844817444,5.785853248238861e-10,5280
"Zheng, Xiaoyong",True,7.0,17.0,2122.4944962880995,0.2220846984589249,1.6987770908276566e-07,3634
"de Jong, Dorrit",False,17.0,17.0,0.0,0.23877987683957833,3.9613533572238284e-06,764
ghosh,False,7.0,17.0,0.0,0.2294806530079996,3.6613161895787613e-06,5073
"van Zanten, Martijn",False,17.0,17.0,0.0,0.23877987683957833,3.9613533572238284e-06,764
"van de Cotte, Brigitte",False,17.0,17.0,0.0,0.23877987683957833,3.9613533572238284e-06,764
"Acharya, R.",False,9.0,16.0,0.125,0.24831759470313688,2.3842043964499345e-05,3542
"Acosta, Juan J.",False,16.0,16.0,0.0,0.23987522608718445,5.939007161559382e-08,4777
"Aleem, Mahaboobbatcha",True,9.0,16.0,90.37265843551963,0.2216704617024369,1.8202530984045044e-07,5073
"Alshamrani, Majid",False,16.0,16.0,0.0,0.21714163680801082,1.804311261419756e-06,972
"Anderson, Pamela K.",False,16.0,16.0,0.0,0.25388414160470535,1.9740274052554508e-07,536
"Andrade, Maria",False,16.0,16.0,0.0,0.25332189126342597,1.557878901102359e-07,5942
"Andre, Marcos Rogerio",False,12.0,16.0,0.0,0.1975817769621073,5.483008224132846e-10,5280
"Aryal, Sanskriti",False,16.0,16.0,0.0,0.2537644546740246,4.077465330176063e-06,8404
"Ashworth, Amanda J.",False,16.0,16.0,0.0,0.2537644546740246,4.077465330176063e-06,8404
"Aspinwall, Michael J.",True,11.0,16.0,1.3333333333333333,0.22157384987893464,2.7269256782124763e-08,1716
"Avci, Muhsin",False,16.0,16.0,0.0,0.23359881554092,4.598897970058025e-07,3542
"Azevedo, Camila Ferreira",False,16.0,16.0,0.0,0.25332189126342597,1.557878901102359e-07,5942
"Baker, Stephen",False,10.0,16.0,0.0,0.21862531954033973,1.7421960949823378e-06,972
"Balkcom, Kip",False,16.0,16.0,0.0,0.24591529614102978,1.7804671034391124e-06,3634
"Banerjee, Sanjana",True,11.0,16.0,67189.60141373887,0.2753671160327395,1.1529070599635283e-05,3634
"Baun, Anders",False,13.0,16.0,3131.580947563289,0.2685625403533486,3.949967527780139e-06,6396
"Bebber, Daniel P.",False,16.0,16.0,0.0,0.25388414160470535,1.9740274052554508e-07,536
"Belekov, Ermek",True,15.0,16.0,20.0,0.21697688203912271,8.759704627118213e-08,5073
"Bell, Michelle L.",False,16.0,16.0,0.0,0.2537644546740246,4.077465330176063e-06,8404
"Benighaus, Christina",False,14.0,16.0,9.999999999999998,0.24565783468900163,3.833174166662115e-06,6396
"Berman, Hanna",True,12.0,16.0,47917.25735117221,0.2466643305749481,1.7441280327681543e-06,972
"Bhavani, Sridhar",False,8.0,16.0,0.0,0.22803388985796164,1.953522082555443e-07,3542
"Bodinayake, Champica",False,16.0,16.0,0.0,0.21714163680801082,1.810616734600054e-06,972
"Bonnette, Jason E.",False,11.0,16.0,1.3333333333333333,0.22157384987893464,2.7269256782124763e-08,1716
"Bossa, Nathan",False,14.0,16.0,2907.8089063772527,0.2647475770287863,3.9552352303924e-06,6396
"Boudreau, Melanie R.",False,16.0,16.0,0.0,0.2537644546740246,4.077465330176063e-06,8404
"Bowman, Daryl",True,16.0,16.0,0.0,0.24623953932674972,2.4970620688129156e-08,7766
"Breitschwerdt, Edward",True,12.0,16.0,0.0,0.1975817769621073,5.483008224132846e-10,5280
"Brittin, Drew O.",False,16.0,16.0,0.0,0.5184331797235023,5.678810369352654e-15,2620
"Brown, Allison",False,16.0,16.0,0.0,0.21714163680801082,1.804311261419756e-06,972
"Cambron, S.",False,9.0,16.0,0.125,0.24831759470313688,2.3842043964499345e-05,3542
"Cann, D. P.",False,11.0,16.0,1.5,0.24464643764202645,9.563637381802841e-08,6455
"Cardoso, Amanda Avila",True,16.0,16.0,46278.18378380676,0.2720839651532721,1.478539726602075e-05,6823
"Carr, Megan M.",False,10.0,16.0,0.5714285714285714,0.2537222391659966,3.942450008830569e-06,8404
"Case, Austin J.",False,8.0,16.0,0.0,0.22803388985796164,1.953522082555443e-07,3542
"Chatterjee, Kony",True,8.0,16.0,0.3333333333333333,0.22948640786437957,3.6848197050781e-06,5073
"Chaves, Saulo F. S.",False,16.0,16.0,0.0,0.25332189126342597,1.557878901102359e-07,5942
"Chen, S.",False,16.0,16.0,0.0,0.2248679198918786,2.3863272222996047e-09,6396
"Choe, H.",False,11.0,16.0,1.5,0.24464643764202645,9.563637381802841e-08,6455
"Christie, Nanette",False,16.0,16.0,0.0,0.23987522608718445,5.939007161559382e-08,4777
"Close, Cindy",False,16.0,16.0,0.0,0.23609391124871001,3.122269966234842e-08,6794
